old	new
D018304	D018302
D018305	D018302
D000694	D007414
D054975	D001932
D056267	D016399
D005909	D018302
D018315	D018302
D009447	D018302
D002345	D018358
D005925	D018358
D012811	D007414
D001005	D007414
D010911	D001932
D020288	D001932
D002289	D008175
D055752	D008175
D011842	D009807
D007946	D008415
D054446	D016399
D017731	D016399
D009182	D016399
D012751	D016399
D013586	D005870
D054705	D008415
D014582	D008415
D018214	D018218
D010017	D018213
D004387	D018218
D018220	D018218
D018221	D018218
D018222	D018218
D018219	D018218
D018232	D009217
D018233	D009217
D001254	D018302
D004806	D018302
D018303	D018302
D018316	D018302
D008527	D018302
D009837	D018302
D020339	D003390
D018241	D018302
D010236	D018358
D010673	D018358
D057091	D009375
D007984	D013736
D012707	D013736
D018332	D009508
D001063	D007414
D003110	D007414
D012004	D007414
D008444	D006258
D014067	D010610
D016545	D001932
D020295	D001932
D002528	D001932
D007029	D001932
D002283	D008175
D016080	D016543
D003803	D009807
D010509	D009807
D056364	D016543
D015451	D015448
D054403	D007945
D015461	D015458
D054066	D015458
D015459	D015458
D015452	D054198
D054218	D054198
D015465	D015464
D015466	D015464
D015471	D015470
D015472	D015470
D004915	D015470
D007947	D015470
D007948	D015470
D015473	D015470
D002051	D016393
D016483	D016393
D018442	D016393
D016403	D016393
D054685	D016393
D058527	D016399
D054391	D016399
D017728	D016399
D016410	D016399
D016411	D016399
D018201	D007680
D018202	D008175
D018203	D012509
D062689	D008067
D018208	D008080
D018210	D002812
D018211	D002813
D018212	D018213
D000070779	D005870
D012515	D008415
D034801	D008415
D034701	D008415
D034721	D008415
D018215	D018213
D015831	D018213
D010016	D018213
D018217	D012516
D012512	D012516
D005350	D018218
D018223	D005354
D018319	D018317
D051642	D018218
D018224	D018218
D062625	D009375
D054364	D018218
D054363	D010997
D018229	D007889
D018230	D007889
D018231	D007889
D012207	D009214
D012208	D009217
D005729	D018302
D005910	D018302
D018306	D001932
D018242	D018302
D010871	D001932
D000239	D018358
D000237	D018358
D000238	D018358
D001079	D018358
D009442	D018358
D009464	D003390
D010235	D018358
D002820	D006828
D007340	D007516
D018250	D009375
D018251	D009375
D018252	D009375
D018291	D009375
D018292	D009375
D018293	D009375
D018261	D008654
D018308	D010212
D018310	D013736
D008579	D008577
D018318	D018317
D018323	D006391
D018325	D018324
D020786	D006392
D049328	D009508
D018329	D009508
D009507	D009508
D018331	D009508
D002430	D007414
D015179	D007414
D004379	D007414
D007078	D007414
D007580	D007414
D018246	D000306
D009347	D049913
D010307	D012468
D013362	D012468
D010255	D006258
D007012	D010610
D009303	D010610
D009959	D010610
D002551	D001932
D015192	D001932
D015173	D001932
D055756	D008577
D015174	D016543
D019574	D003390
D001984	D008175
D055613	D008175
D010178	D008175
D047868	D008175
D016066	D010997
D016889	D014594
D002583	D014594
D064129	D011471
D003884	D013724
D015463	D007945
D054438	D007951
D015479	D007951
D023981	D012509
D007952	D009101
D018191	D008202
D018192	D054973
D008204	D012509
D016400	D008228
D018195	D012509
D002296	D012509
D018199	D012509
D018206	D018205
D018207	D054973
D018209	D018205
D002804	D009372
D002812	D009372
D036821	D012509
D047708	D009372
D056733	D006338
D018321	D018317
D009236	D012509
D051677	D012509
D000232	D009375
D001948	D009375
D018226	D009375
D018227	D012509
D018228	D012509
D016586	D009379
D018234	D012509
D058405	D012509
D003557	D012509
D004407	D009373
D018240	D009373
D017600	D017599
D018327	D008545
D018328	D008545
D013330	D013724
D049913	D010911
D002759	D000236
D018249	D000236
D006607	D009375
D018253	D000236
D018254	D009375
D018255	D000236
D018256	D000236
D000314	D000236
D003537	D009375
D018296	D018295
D018298	D009375
D011553	D009375
D018300	D009375
D018311	D010051
D013798	D010051
D009455	D018317
D009463	D018317
D020787	D006391
D006390	D006391
D059885	D006391
D013341	D006391
D055882	D009506
D018330	D009506
D054000	D009506
D007573	D001859
D009669	D006258
D019292	D001859
D001650	D001661
D008539	D010051
D015811	D014604
D005887	D009062
D017733	D007972
D008048	D009062
D014062	D009062
D004428	D006258
D020863	D016543
D013120	D016543
D055653	D003123
D005185	D014565
D014625	D014565
D014846	D014565
D010412	D005834
D014516	D014565
D014523	D014565
D002472	D002471
D017824	D001845
D007570	D001845
D018333	D009808
D010192	D010181
D011151	D013581
D054740	D015620
D054739	D015620
D054747	D015620
D054752	D015620
D016583	D007938
D001353	D007942
D007939	D007942
D007941	D007942
D016582	D007938
D008202	D018190
D008203	D018190
D007161	D008223
D064090	D005134
D000235	D018193
D055331	D018193
D018194	D018193
D018198	D018193
D018200	D018193
D009208	D018193
D030321	D009396
D017624	D009396
D009372	D018204
D018225	D009375
D012511	D012513
D012510	D012513
D012517	D012513
D018236	D009373
D018237	D009373
D018238	D018309
D008649	D009373
D017599	D009380
D031901	D014328
D005736	D011125
D018294	D009375
D018297	D009375
D018299	D009375
D018301	D009375
D049309	D012878
D018312	D018309
D018322	D009383
D000794	D009383
D005918	D009383
D006393	D009383
D009506	D018326
D002485	D009808
D051527	D009808
D009810	D009808
D010534	D004067
D012186	D000008
D058288	D000008
D050398	D001859
D012888	D001859
D009918	D005134
D013125	D001859
D000310	D004701
D018814	D009377
D003230	D005134
D019572	D005134
D014604	D005134
D005153	D006258
D010039	D006258
D019046	D019337
D060426	D020361
D015624	D020361
D020363	D020361
D053578	D020361
D020362	D020361
D020364	D020361
D010524	D009423
D013544	D012878
D019042	D012983
D019043	D012983
D008479	D013899
D012142	D013899
D005833	D014565
D014571	D014565
D003043	D063646
D008207	D009362
D061206	D009362
D009366	D009362
D009382	D009362
D009360	D009362
D055847	D003123
D000182	D009384
